year	component	emission	sector	region	value	unit
2012	domestic	GHG	Wood, paper & publishing	Developing	0.0	Mt
2012	domestic	GHG	Wood, paper & publishing	Norway	0.0313795200401925	Mt
2012	domestic	HFC	Agriculture, forestry & fishing	Europe	0.0	t CO2-eq
2012	domestic	HFC	Agriculture, forestry & fishing	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Agriculture, forestry & fishing	Developing	0.0	t CO2-eq
2012	domestic	HFC	Agriculture, forestry & fishing	Norway	3421.096544133982	t CO2-eq
2012	domestic	HFC	Business Services	Europe	0.0	t CO2-eq
2012	domestic	HFC	Business Services	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Business Services	Developing	0.0	t CO2-eq
2012	domestic	HFC	Business Services	Norway	36933.49276766065	t CO2-eq
2012	domestic	HFC	Construction	Europe	0.0	t CO2-eq
2012	domestic	HFC	Construction	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Construction	Developing	0.0	t CO2-eq
2012	domestic	HFC	Construction	Norway	265.237580166595	t CO2-eq
2012	domestic	HFC	Electrical & machinery	Europe	0.0	t CO2-eq
2012	domestic	HFC	Electrical & machinery	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Electrical & machinery	Developing	0.0	t CO2-eq
2012	domestic	HFC	Electrical & machinery	Norway	365.381118233248	t CO2-eq
2012	domestic	HFC	Electricity, gas & water	Europe	0.0	t CO2-eq
2012	domestic	HFC	Electricity, gas & water	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Electricity, gas & water	Developing	0.0	t CO2-eq
2012	domestic	HFC	Electricity, gas & water	Norway	64177.5603174088	t CO2-eq
2012	domestic	HFC	Food, beverages & tobacco	Europe	0.0	t CO2-eq
2012	domestic	HFC	Food, beverages & tobacco	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Food, beverages & tobacco	Developing	0.0	t CO2-eq
2012	domestic	HFC	Food, beverages & tobacco	Norway	47572.92352190403	t CO2-eq
2012	domestic	HFC	Metal & metal products	Europe	0.0	t CO2-eq
2012	domestic	HFC	Metal & metal products	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Metal & metal products	Developing	0.0	t CO2-eq
2012	domestic	HFC	Metal & metal products	Norway	121.7221741866832	t CO2-eq
2012	domestic	HFC	Mining & quarrying	Europe	0.0	t CO2-eq
2012	domestic	HFC	Mining & quarrying	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Mining & quarrying	Developing	0.0	t CO2-eq
2012	domestic	HFC	Mining & quarrying	Norway	25.133821787411367	t CO2-eq
2012	domestic	HFC	Other manufacturing & recycl.	Europe	0.0	t CO2-eq
2012	domestic	HFC	Other manufacturing & recycl.	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Other manufacturing & recycl.	Developing	0.0	t CO2-eq
2012	domestic	HFC	Other manufacturing & recycl.	Norway	540.0437589398772	t CO2-eq
2012	domestic	HFC	Petroleum, chem & non-met	Europe	0.0	t CO2-eq
2012	domestic	HFC	Petroleum, chem & non-met	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Petroleum, chem & non-met	Developing	0.0	t CO2-eq
2012	domestic	HFC	Petroleum, chem & non-met	Norway	1547.406495097848	t CO2-eq
2012	domestic	HFC	Public services	Europe	0.0	t CO2-eq
2012	domestic	HFC	Public services	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Public services	Developing	0.0	t CO2-eq
2012	domestic	HFC	Public services	Norway	9495.000040786032	t CO2-eq
2012	domestic	HFC	Recreation; other services	Europe	0.0	t CO2-eq
2012	domestic	HFC	Recreation; other services	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Recreation; other services	Developing	0.0	t CO2-eq
2012	domestic	HFC	Recreation; other services	Norway	10966.492976112248	t CO2-eq
2012	domestic	HFC	Textiles & wearing apparel	Europe	0.0	t CO2-eq
2012	domestic	HFC	Textiles & wearing apparel	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Textiles & wearing apparel	Developing	0.0	t CO2-eq
2012	domestic	HFC	Textiles & wearing apparel	Norway	362.5872363196379	t CO2-eq
2012	domestic	HFC	Transport	Europe	0.0	t CO2-eq
2012	domestic	HFC	Transport	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Transport	Developing	0.0	t CO2-eq
2012	domestic	HFC	Transport	Norway	18667.20609605821	t CO2-eq
2012	domestic	HFC	Transport equipment	Europe	0.0	t CO2-eq
2012	domestic	HFC	Transport equipment	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Transport equipment	Developing	0.0	t CO2-eq
2012	domestic	HFC	Transport equipment	Norway	438.86000813431957	t CO2-eq
2012	domestic	HFC	Wholesale, retail & hospitality	Europe	0.0	t CO2-eq
2012	domestic	HFC	Wholesale, retail & hospitality	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Wholesale, retail & hospitality	Developing	0.0	t CO2-eq
2012	domestic	HFC	Wholesale, retail & hospitality	Norway	52065.05278827314	t CO2-eq
2012	domestic	HFC	Wood, paper & publishing	Europe	0.0	t CO2-eq
2012	domestic	HFC	Wood, paper & publishing	Advanced	0.0	t CO2-eq
2012	domestic	HFC	Wood, paper & publishing	Developing	0.0	t CO2-eq
2012	domestic	HFC	Wood, paper & publishing	Norway	422.8853947580781	t CO2-eq
2012	domestic	N2O	Agriculture, forestry & fishing	Europe	0.0	t
2012	domestic	N2O	Agriculture, forestry & fishing	Advanced	0.0	t
2012	domestic	N2O	Agriculture, forestry & fishing	Developing	0.0	t
2012	domestic	N2O	Agriculture, forestry & fishing	Norway	1152.5361112081598	t
2012	domestic	N2O	Business Services	Europe	0.0	t
2012	domestic	N2O	Business Services	Advanced	0.0	t
2012	domestic	N2O	Business Services	Developing	0.0	t
2012	domestic	N2O	Business Services	Norway	84.25233292593242	t
2012	domestic	N2O	Construction	Europe	0.0	t
2012	domestic	N2O	Construction	Advanced	0.0	t
2012	domestic	N2O	Construction	Developing	0.0	t
2012	domestic	N2O	Construction	Norway	1.4660314491762525	t
2012	domestic	N2O	Electrical & machinery	Europe	0.0	t
2012	domestic	N2O	Electrical & machinery	Advanced	0.0	t
2012	domestic	N2O	Electrical & machinery	Developing	0.0	t
2012	domestic	N2O	Electrical & machinery	Norway	1.6240292235740283	t
2012	domestic	N2O	Electricity, gas & water	Europe	0.0	t
2012	domestic	N2O	Electricity, gas & water	Advanced	0.0	t
2012	domestic	N2O	Electricity, gas & water	Developing	0.0	t
2012	domestic	N2O	Electricity, gas & water	Norway	57.95996357635545	t
2012	domestic	N2O	Food, beverages & tobacco	Europe	0.0	t
2012	domestic	N2O	Food, beverages & tobacco	Advanced	0.0	t
2012	domestic	N2O	Food, beverages & tobacco	Developing	0.0	t
2012	domestic	N2O	Food, beverages & tobacco	Norway	1871.511628602904	t
2012	domestic	N2O	Metal & metal products	Europe	0.0	t
2012	domestic	N2O	Metal & metal products	Advanced	0.0	t
2012	domestic	N2O	Metal & metal products	Developing	0.0	t
2012	domestic	N2O	Metal & metal products	Norway	0.3449142613109484	t
2012	domestic	N2O	Mining & quarrying	Europe	0.0	t
2012	domestic	N2O	Mining & quarrying	Advanced	0.0	t
2012	domestic	N2O	Mining & quarrying	Developing	0.0	t
2012	domestic	N2O	Mining & quarrying	Norway	0.1311047873946877	t
2012	domestic	N2O	Other manufacturing & recycl.	Europe	0.0	t
2012	domestic	N2O	Other manufacturing & recycl.	Advanced	0.0	t
2012	domestic	N2O	Other manufacturing & recycl.	Developing	0.0	t
2012	domestic	N2O	Other manufacturing & recycl.	Norway	2.614218124810945	t
2012	domestic	N2O	Petroleum, chem & non-met	Europe	0.0	t
2012	domestic	N2O	Petroleum, chem & non-met	Advanced	0.0	t
2012	domestic	N2O	Petroleum, chem & non-met	Developing	0.0	t
2012	domestic	N2O	Petroleum, chem & non-met	Norway	114.14598867605575	t
2012	domestic	N2O	Public services	Europe	0.0	t
2012	domestic	N2O	Public services	Advanced	0.0	t
2012	domestic	N2O	Public services	Developing	0.0	t
2012	domestic	N2O	Public services	Norway	31.1468916075605	t
2012	domestic	N2O	Recreation; other services	Europe	0.0	t
2012	domestic	N2O	Recreation; other services	Advanced	0.0	t
2012	domestic	N2O	Recreation; other services	Developing	0.0	t
2012	domestic	N2O	Recreation; other services	Norway	12.952278254165376	t
2012	domestic	N2O	Textiles & wearing apparel	Europe	0.0	t
2012	domestic	N2O	Textiles & wearing apparel	Advanced	0.0	t
2012	domestic	N2O	Textiles & wearing apparel	Developing	0.0	t
2012	domestic	N2O	Textiles & wearing apparel	Norway	7.063078101463446	t
2012	domestic	N2O	Transport	Europe	0.0	t
2012	domestic	N2O	Transport	Advanced	0.0	t
2012	domestic	N2O	Transport	Developing	0.0	t
2012	domestic	N2O	Transport	Norway	91.46698189761474	t
2012	domestic	N2O	Transport equipment	Europe	0.0	t
2012	domestic	N2O	Transport equipment	Advanced	0.0	t
2012	domestic	N2O	Transport equipment	Developing	0.0	t
2012	domestic	N2O	Transport equipment	Norway	2.189826171240744	t
2012	domestic	N2O	Wholesale, retail & hospitality	Europe	0.0	t
2012	domestic	N2O	Wholesale, retail & hospitality	Advanced	0.0	t
