year	emission	sector	region	value	unit
2012	HFC	Textiles & wearing apparel	Europe	12365.7745519983	t CO2-eq
2012	HFC	Textiles & wearing apparel	Advanced	3890.1176763276226	t CO2-eq
2012	HFC	Textiles & wearing apparel	Developing	67803.83053022761	t CO2-eq
2012	HFC	Textiles & wearing apparel	Norway	473.4844102631363	t CO2-eq
2012	HFC	Transport	Europe	23092.453753021855	t CO2-eq
2012	HFC	Transport	Advanced	6241.121758305782	t CO2-eq
2012	HFC	Transport	Developing	34645.57055782937	t CO2-eq
2012	HFC	Transport	Norway	26742.18874735111	t CO2-eq
2012	HFC	Transport equipment	Europe	39865.93041926584	t CO2-eq
2012	HFC	Transport equipment	Advanced	12442.972467135194	t CO2-eq
2012	HFC	Transport equipment	Developing	59696.163435879986	t CO2-eq
2012	HFC	Transport equipment	Norway	4745.052697832503	t CO2-eq
2012	HFC	Wholesale, retail & hospitality	Europe	61109.65307032099	t CO2-eq
2012	HFC	Wholesale, retail & hospitality	Advanced	11253.39827696635	t CO2-eq
2012	HFC	Wholesale, retail & hospitality	Developing	73995.71411774903	t CO2-eq
2012	HFC	Wholesale, retail & hospitality	Norway	63746.74790647155	t CO2-eq
2012	HFC	Wood, paper & publishing	Europe	5515.525400689847	t CO2-eq
2012	HFC	Wood, paper & publishing	Advanced	285.79541878124036	t CO2-eq
2012	HFC	Wood, paper & publishing	Developing	2862.4194449714405	t CO2-eq
2012	HFC	Wood, paper & publishing	Norway	647.13741026896	t CO2-eq
2012	N2O	Agriculture, forestry & fishing	Europe	611.8013147961318	t
2012	N2O	Agriculture, forestry & fishing	Advanced	120.7804693294342	t
2012	N2O	Agriculture, forestry & fishing	Developing	536.5036783251221	t
2012	N2O	Agriculture, forestry & fishing	Norway	1278.2238791373798	t
2012	N2O	Business Services	Europe	217.2188797698641	t
2012	N2O	Business Services	Advanced	100.55859160725986	t
2012	N2O	Business Services	Developing	457.5628416227611	t
2012	N2O	Business Services	Norway	146.9429037739151	t
2012	N2O	Construction	Europe	186.31868051248864	t
2012	N2O	Construction	Advanced	69.24682675887384	t
2012	N2O	Construction	Developing	330.7518877366653	t
2012	N2O	Construction	Norway	261.007040592775	t
2012	N2O	Electrical & machinery	Europe	95.42565387754874	t
2012	N2O	Electrical & machinery	Advanced	43.61954570943616	t
2012	N2O	Electrical & machinery	Developing	253.54042948419638	t
2012	N2O	Electrical & machinery	Norway	13.347477751861977	t
2012	N2O	Electricity, gas & water	Europe	14.292669040964494	t
2012	N2O	Electricity, gas & water	Advanced	3.865649416199992	t
2012	N2O	Electricity, gas & water	Developing	19.758447710405484	t
2012	N2O	Electricity, gas & water	Norway	64.90003182697083	t
2012	N2O	Food, beverages & tobacco	Europe	944.0302368290472	t
2012	N2O	Food, beverages & tobacco	Advanced	128.59753109694705	t
